link,price,pid,name
/htc-desire-t329w-x-dual-sim/p/itmdv6f6ps2hpgaw?pid=MOBDHSK5WAVWHF5F&srno=b_2264&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,"Rs. 9,964",MOBDHSK5WAVWHF5F,"HTC Desire T329W X Dual Sim (White, with Dual SIM)"
/nokia-asha-305/p/itmdv6f3x58txhxq?pid=MOBDBGAUHZKUTT7B&srno=b_2265&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,"Rs. 3,949",MOBDBGAUHZKUTT7B,Nokia Asha 305 (Red)
/lg-t585/p/itmdv6evzzkhzgar?pid=MOBDNZG4AZJFARMN&srno=b_2266&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,"Rs. 3,999",MOBDNZG4AZJFARMN,LG T585 (Black)
/intex-star-one/p/itmdx35g8sxgbrgf?pid=MOBDXXKFEHE2V6NV&srno=b_2267&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,Rs. 998,MOBDXXKFEHE2V6NV,Intex Star One (Blue & Black)
/nokia-asha-305/p/itmdv6f3x58txhxq?pid=MOBDE2T6VMMTR8FH&srno=b_2268&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,"Rs. 3,890",MOBDE2T6VMMTR8FH,Nokia Asha 305 (Silver White)
/lava-c11/p/itmddhwpnwdjzgvn?pid=MOBDDHWHXNXYYHNH&srno=b_2269&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,"Rs. 1,799",MOBDDHWHXNXYYHNH,Lava C11 (White)
/apple-iphone-4/p/itmdv6esrpahzeyh?pid=MOBDNA6FGEJHGFEY&srno=b_2270&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,"Rs. 19,500",MOBDNA6FGEJHGFEY,"Apple iPhone 4 (White, with 16 GB)"
/bsnl-champion-sm3513/p/itmdr5a8b56y9eh3?pid=MOBDR54ZZKZQHGHD&srno=b_2271&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,N/A,MOBDR54ZZKZQHGHD,BSNL-Champion SM3513 (Black)
/alcatel-890d/p/itmdwrd2gjdkkdgu?pid=MOBDWRD2TQTZDX2R&srno=b_2272&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,"Rs. 1,999",MOBDWRD2TQTZDX2R,Alcatel 890D (Silver)
/samsung-galaxy-grand-2/p/itmdv6f73tm2fbpb?pid=MOBEFBP5KTPV2ZS8&srno=b_2273&ref=834cbbae-61b5-42d7-bc0f-eb2e68e2dd06,"Rs. 16,900",MOBEFBP5KTPV2ZS8,Samsung Galaxy Grand 2 (Neon Blue)
