link,price,pid,name
http://www.amazon.in/Nokia-Asha-501-Dual-Black/dp/B00DM31DWG,3269,B00DM31DWG,"Nokia Asha 501 (Dual SIM, Black)"
http://www.amazon.in/BlackBerry-Passport-Black/dp/B00NTYJQM2,49990,B00NTYJQM2,BlackBerry Passport (Black)
http://www.amazon.in/Intex-Aqua-3G-Black/dp/B00LCSMCNW,3299,B00LCSMCNW,Intex Aqua 3G (Black)
http://www.amazon.in/Intex-Aqua-T2-Black/dp/B00O7FVTTU,2699,B00O7FVTTU,Intex Aqua T2 (Black)
http://www.amazon.in/Sony-Xperia-SP-C5302-Black/dp/B00D2KRS4Q,12955,B00D2KRS4Q,Sony Xperia SP C5302 (Black)
http://www.amazon.in/Samsung-Galaxy-Grand-2-Black/dp/B00H4WM0IM,16900,B00H4WM0IM,Samsung Galaxy Grand 2 (Black)
http://www.amazon.in/Samsung-Galaxy-Note-Neo-N750/dp/B00JMQ56U2,24500,B00JMQ56U2,Samsung Galaxy Note 3 Neo N750 (White)
http://www.amazon.in/Lenovo-A328-Black/dp/B00O525Z68,6885,B00O525Z68,Lenovo A328 (Black)
http://www.amazon.in/Lenovo-LNO_S660_GOD-S660-Gold/dp/B00OFRJYEW,10499,B00OFRJYEW,Lenovo S660 (Gold)
http://www.amazon.in/Sony-Xperia-C-Black/dp/B00FMSD1U6,16310,B00FMSD1U6,Sony Xperia C (Black)
http://www.amazon.in/BlackBerry-Q5-Black/dp/B00E0IWU7E,12300,B00E0IWU7E,BlackBerry Q5 (Black)
http://www.amazon.in/Micromax-Canvas-Fire-A104-Black-Gold/dp/B00MTFU2UW,6415,B00MTFU2UW,Micromax Canvas Fire A104 (Black-Gold)
http://www.amazon.in/Nokia-Lumia-1320-White/dp/B00GAPPVT4,17919,B00GAPPVT4,Nokia Lumia 1320 (White)
http://www.amazon.in/Karbonn-K-Phone-1-White-Silver/dp/B00DXN9UZC,1499,B00DXN9UZC,Karbonn K-Phone 1 (White-Silver)
"http://www.amazon.in/Lava-Iris-X1-White-8GB/dp/B00MIRXXNO,http://www.amazon.in/Lava-Iris-X1-White-8GB/dp/B00MIRXXNO",7999,B00MIRXXNO,"Lava Iris X1 (White, 8GB)"
http://www.amazon.in/Samsung-Galaxy-Grand-Prime-SM-G530H/dp/B00O30T5VI,15200,B00O30T5VI,Samsung Galaxy Grand Prime SM-G530H (Grey)
http://www.amazon.in/Lava-Fuel-50-Iris/dp/B00P98KMKQ,7699,B00P98KMKQ,Lava Iris Fuel 50
http://www.amazon.in/XOLO-Q1010i-Xolo-Coffee-Brown/dp/B00LOBLJY0,10499,B00LOBLJY0,Xolo Q1010i (Coffee Brown)
http://www.amazon.in/Nokia-X-Dual-SIM-Black/dp/B00IKC5HQC,5399,B00IKC5HQC,"Nokia X (Dual SIM, Black)"
http://www.amazon.in/Asus-Zenfone-Champagne-Gold-8GB/dp/B00LOBK41O,10499,B00LOBK41O,"Asus Zenfone 5 (Champagne Gold, 8GB)"
http://www.amazon.in/Apple-iPhone-5c-Blue-8GB/dp/B00L8WSNMG,27500,B00L8WSNMG,"Apple iPhone 5c (Blue, 8GB)"
"http://www.amazon.in/Sony-Xperia-E3-Dual-Black/dp/B00NLAFNLW,http://www.amazon.in/Sony-Xperia-E3-Dual-Black/dp/B00NLAFNLW",12000,B00NLAFNLW,"Sony Xperia E3 (Dual SIM, Black)"
http://www.amazon.in/Micromax-X097-Black/dp/B00H93MO3C,1030,B00H93MO3C,Micromax X097 (Black)
http://www.amazon.in/Lenovo-A680-White/dp/B00J26HJJ8,6570,B00J26HJJ8,Lenovo A680 (White)
http://www.amazon.in/Samsung-Galaxy-Grand-2-Gold/dp/B00N0XZU8Q,16900,B00N0XZU8Q,Samsung Galaxy Grand 2 (Gold)
http://www.amazon.in/Samsung-Galaxy-SM-G313H-Ceramic-White/dp/B00LQN7RYM,6190,B00LQN7RYM,Samsung Galaxy Ace NXT SM-G313H (Ceramic White)
http://www.amazon.in/Nokia-Plus-Black-Dual-SIM/dp/B00IXCZIHW,5567,B00IXCZIHW,"Nokia X Plus (Black, Dual SIM)"
http://www.amazon.in/Samsung-E1207T-Guru-Black/dp/B00CZ51GZG,1529,B00CZ51GZG,Samsung Guru E1207T (Black)
http://www.amazon.in/Lava-Iris-X1-White-Gold-8GB/dp/B00NXM3FUO,6999,B00NXM3FUO,"Lava Iris X1 (White-Gold, 8GB)"
http://www.amazon.in/Samsung-Galaxy-Duos-SM-G313HRWHINS-White/dp/B00NAXWLEC,7490,B00NAXWLEC,Samsung Galaxy S Duos 3 SM-G313HRWHINS (White)
http://www.amazon.in/Gionee-M2-White-8GB/dp/B00M3RIOJW,10266,B00M3RIOJW,"Gionee M2 (White, 8GB)"
http://www.amazon.in/Micromax-Canvas-Knight-Cameo-A290/dp/B00N1P5KHO,10329,B00N1P5KHO,Micromax Canvas Knight Cameo A290(Black+Gold)
http://www.amazon.in/Micromax-Canvas-Plus-A190-Black/dp/B00LWT7394,10287,B00LWT7394,Micromax Canvas HD Plus A190 (Black)
http://www.amazon.in/XOLO-A500-Club-Xolo-White/dp/B00IKC6TSM,4900,B00IKC6TSM,Xolo A500 Club (White)
http://www.amazon.in/Micromax-Canvas-Knight-Cameo-A290/dp/B00MVUHDKM,9932,B00MVUHDKM,Micromax Canvas Knight Cameo A290(Black+Gold)
http://www.amazon.in/Lava-Iris-Selfie-50-Black/dp/B00PFGGXGO,7499,B00PFGGXGO,Lava Iris Selfie 50(Black)
http://www.amazon.in/Micromax-Unite-A106-Red-8GB/dp/B00KLUA0QS,7344,B00KLUA0QS,"Micromax Unite 2 A106 (Red, 8GB)"
http://www.amazon.in/Lenovo-A859-White/dp/B00JRSW824,10499,B00JRSW824,Lenovo A859 (White)
http://www.amazon.in/Samsung-Galaxy-Duos-GT-S7582-White/dp/B00H3YT1S8,9350,B00H3YT1S8,Samsung Galaxy S Duos 2 GT-S7582 (Pure White)
http://www.amazon.in/Nokia-Asha-501-Dual-White/dp/B00DM31MC2,3144,B00DM31MC2,"Nokia Asha 501 (Dual SIM, White)"
http://www.amazon.in/Nokia-Lumia-630-White-Dual/dp/B00KD8BFK8,7919,B00KD8BFK8,"Nokia Lumia 630 (White, Dual SIM)"
http://www.amazon.in/Micromax-Canvas-XL2-A109-Black/dp/B00N4Q6OHU,7569,B00N4Q6OHU,Micromax Canvas XL2 A109 (Black)
http://www.amazon.in/Samsung-Galaxy-S5-Copper-Gold/dp/B00K3FZ72S,34900,B00K3FZ72S,Samsung Galaxy S5 (Copper Gold)
http://www.amazon.in/Samsung-Galaxy-S5-Charcoal-Black/dp/B00JB6RT8K,34900,B00JB6RT8K,Samsung Galaxy S5 (Charcoal Black)
http://www.amazon.in/DIGITEK-POWER-BANK-dip-2200-2200mah-portable-charger-white/dp/B00NIRS0OK,375,B00NIRS0OK,DIGITEK POWER BANK dip-2200-2200mah-portable usb charger-white pink
http://www.amazon.in/Nokia-X2-Dual-SIM-Orange/dp/B00LA1J9B4,7999,B00LA1J9B4,"Nokia X2 (Dual SIM, Orange)"
http://www.amazon.in/Micromax-Bolt-A37B-Black/dp/B00I0670QS,3356,B00I0670QS,Micromax Bolt A37B (Black)
http://www.amazon.in/XOLO-Q500s-IPS-Q500S-BLACK/dp/B00LPIJSWC,5120,B00LPIJSWC,XOLO Q500S IPS BLACK
http://www.amazon.in/Nokia-Lumia-525-Black/dp/B00HRUQ2L2,8509,B00HRUQ2L2,Nokia Lumia 525 (Black)
http://www.amazon.in/Apple-iPhone-6-Silver-16GB/dp/B00O4WTJKW,58175,B00O4WTJKW,"Apple iPhone 6 (Silver, 16GB)"
http://www.amazon.in/Micromax-A092-Unite-Yellow/dp/B00NQVLL1M,5249,B00NQVLL1M,Micromax A092 Unite (Yellow)
http://www.amazon.in/Intex-Aqua-HD-White-Mobile/dp/B00KDE56J8,7899,B00KDE56J8,Intex Aqua I5 HD (White) Mobile Phone
http://www.amazon.in/Karbonn-Titanium-S5-Plus-Deep/dp/B00HJQJLU8,6883,B00HJQJLU8,Karbonn Titanium S5 Plus (Deep Blue)
http://www.amazon.in/Intex-Aqua-Y2-Android-Kitkat/dp/B00NFKPUKW,4199,B00NFKPUKW,Intex Aqua Y2 Android 4.4 Kitkat (White) Smart Mobile Phone
